,TITLE,REGION,SPECIFIC REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,lat,lon,MOST_RECENT_REPORT_DATE,REPORT_COUNT,COAST,RIVERS,LAKES,WATERFALLS,OLD GROWTH,FALL FOLIAGE,WILDFLOWERS/MEADOWS,MOUNTAIN VIEWS,SUMMITS,WILDLIFE,RIDGES,ESTABLISHED CAMPSITES,DOGS ALLOWED ON LEASH,NO DOGS,KID FRIENDLY,REQUIRED PASSES,URL
1590,Boulder Cave,Mount Rainier Area,Chinook Pass - Hwy 410,2.0,roundtrip,300.0,2700.0,4.0,7,46.9597488,-121.0864223,9/14/19 0:00,61,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/boulder-cave
1591,Yellowstone Cliffs and Windy Gap,Mount Rainier Area,NW - Carbon River/Mowich,24.6,roundtrip,3500.0,5800.0,3.86,7,46.9949,-121.9123,9/21/21 0:00,40,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,National Park Pass,https://www.wta.org/go-hiking/hikes/yellowstone-cliffs-and-windy-gap
1592,Moncton Ghost Town,Snoqualmie Region,North Bend Area,2.5,roundtrip,20.0,940.0,0.0,0,47.43467232,-121.7687324,11/10/19 0:00,12,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/moncton-ghost-town
1593,Upper Falls Creek Trail,Southwest Washington,Columbia River Gorge - WA,18.0,roundtrip,1100.0,2400.0,2.25,4,45.908,-121.94745,5/22/21 0:00,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/upper-falls-creek
1594,John Nelson Trail,Puget Sound and Islands,Seattle-Tacoma Area,0.3,roundtrip,,,5.0,1,47.63038,-122.514553,8/4/20 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/john-nelson-trail
1595,Paw Print Connector,Issaquah Alps,Tiger Mountain,1.1,roundtrip,100.0,2200.0,5.0,2,47.44303431,-121.9767809,4/2/21 0:00,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/paw-print-connector
1596,McTavish Woodbridge Open Space Loop Trail,Puget Sound and Islands,Seattle-Tacoma Area,1.65,roundtrip,170.0,328.0,2.0,1,,,3/20/21 0:00,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,No pass,https://www.wta.org/go-hiking/hikes/mctavish-woodbridge-open-space-loop-trail
1597,Goose Butte,Eastern Washington,Spokane Area/Coeur d'Alene,6.0,roundtrip,450.0,,4.2,5,47.30084064,-118.2522697,3/20/21 0:00,9,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/goose-butte
1598,Twin Lakes,Eastern Washington,Okanogan Highlands/Kettle River Range,9.25,roundtrip,800.0,2200.0,3.0,2,47.53118346,-118.5058415,3/6/21 0:00,7,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/twin-lakes-3
1599,Arrowhead Mountain,Central Cascades,Stevens Pass - East,,,,6027.0,4.0,3,,,3/11/21 0:00,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/arrowhead-mountain
1600,Stevens Pass Nordic Center,Central Cascades,Stevens Pass - East,4.0,trails,,,1.0,2,47.77270457,-121.0142756,1/27/18 0:00,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/stevens-pass-nordic-center
1601,Woods Creek,South Cascades,White Pass/Cowlitz River Valley,2.5,roundtrip,,1100.0,3.0,6,46.46231667,-121.9601,6/20/21 0:00,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/woods-creek
1602,Pleasant Valley Loop,Mount Rainier Area,Chinook Pass - Hwy 410,11.5,roundtrip,150.0,3880.0,3.71,7,46.96419041,-121.2663978,7/4/21 0:00,25,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/pleasant-valley-loop
1603,Wenatchee Crest Snowshoe (Blewett Pass),Central Cascades,Blewett Pass,6.0,roundtrip,400.0,4500.0,4.18,11,47.33570937,-120.5803642,3/15/21 0:00,129,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Sno-Parks Permit,https://www.wta.org/go-hiking/hikes/wenatchee-crest-snowshoe
1604,Curlew Lake State Park - Curlew Lake Nature Trail,Eastern Washington,Okanogan Highlands/Kettle River Range,1.6,roundtrip,160.0,2500.0,0.0,0,48.717817,-118.664117,6/29/19 0:00,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/curlew-lake-nature-trail
1605,Squak Mountain's East Side Loop,Issaquah Alps,Squak Mountain,8.0,roundtrip,1700.0,2025.0,3.0,8,47.52841619,-122.0363045,10/19/21 0:00,45,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/squak-mountain-eastside-loop
1606,May Valley Trail,Issaquah Alps,Squak Mountain,6.0,roundtrip,,,2.83,6,47.48187219,-122.0541787,9/12/21 0:00,13,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/squak-mountain-may-valley-trail
1607,Sherman Creek Wildlife Area,Eastern Washington,Okanogan Highlands/Kettle River Range,8.0,trails,,1500.0,0.0,0,48.60836955,-118.1379819,2/23/20 0:00,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/sherman-creek-wildlife-area
1608,Saddle Mountain East,Central Washington,Tri-Cities,,,,,3.25,4,46.79194513,-119.4462253,11/28/20 0:00,14,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/saddle-mountain-east
1609,Robinson Canyon - Ainsley Canyon,Central Washington,Yakima,10.0,roundtrip,1200.0,3400.0,3.29,7,47.0142075,-120.705407,11/6/21 0:00,82,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/robinson-canyon-ainsley-canyon
1610,Rattlesnake Slope Wildlife Area,Central Washington,Tri-Cities,5.0,roundtrip,1600.0,2000.0,3.43,7,46.34787557,-119.4708252,5/8/21 0:00,14,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/rattlesnake-slope-wildlife-area
1611,Potters Pond Fishing and Observation Platform,Eastern Washington,Selkirk Range,0.25,roundtrip,,,0.0,0,48.4269051,-117.6709467,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,https://www.wta.org/go-hiking/hikes/potters-pond-fishing-and-observation-platform
1612,Priest Rapids Wildlife Area,Central Washington,Tri-Cities,5.0,roundtrip,50.0,,2.5,4,46.71074671,-119.9524873,2/20/16 0:00,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/priest-rapids-wildlife-area
1613,Potholes Wildlife Area,Central Washington,Potholes Region,4.0,roundtrip,,1050.0,3.4,5,46.97086166,-119.3485808,4/3/19 0:00,11,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,Discover Pass,https://www.wta.org/go-hiking/hikes/potholes-wildlife-area
1614,Chesaw Wildlife Area,Eastern Washington,Okanogan Highlands/Kettle River Range,,,,,0.0,0,48.94276,-119.070036,6/1/19 0:00,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/chesaw-wildlife-area
1615,Swofford Pond,South Cascades,White Pass/Cowlitz River Valley,3.8,roundtrip,140.0,922.0,0.0,0,46.49989726,-122.3890249,8/25/20 0:00,12,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/swofford-pond
1616,Browns Lake,Eastern Washington,Selkirk Range,1.0,roundtrip,20.0,2440.0,0.0,0,48.436164,-117.196351,5/10/16 0:00,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,No pass,https://www.wta.org/go-hiking/hikes/browns-lake
1617,Beebe Creek Wildlife Area,Central Cascades,Entiat Mountains/Lake Chelan,2.0,roundtrip,,,3.0,1,47.81937923,-119.9731064,7/13/21 0:00,6,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/beebe-creek-wildlife-area
1618,Swanson Lakes Wildlife Area,Eastern Washington,Spokane Area/Coeur d'Alene,,,310.0,2412.0,0.0,0,47.62141364,-118.5382619,3/20/20 0:00,2,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/swanson-lakes-wildlife-area
1619,Dusty Lake,Central Washington,Potholes Region,6.0,roundtrip,350.0,1000.0,2.67,3,47.1519,-119.9223,5/29/21 0:00,92,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/dusty-lake
1620,Lake Caroline,Central Cascades,Leavenworth Area,11.5,roundtrip,3100.0,6300.0,2.75,8,47.53596667,-120.8139,10/18/21 0:00,137,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/lake-caroline
1621,Burch Mountain via Billy Goat Pass,North Cascades,Pasayten,9.0,roundtrip,3510.0,7782.0,4.5,2,48.78450694,-120.3179821,10/19/21 0:00,20,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/burch-mountain-via-billy-goat-pass
1622,Kalispell Rock,Eastern Washington,Selkirk Range,5.6,roundtrip,1490.0,5200.0,0.0,0,48.633683,-117.101683,7/3/16 0:00,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/kalispell-rock
1623,Spiritridge Trail,Puget Sound and Islands,Seattle-Tacoma Area,2.4,roundtrip,,,1.0,1,47.58053885,-122.1281345,10/26/21 0:00,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,No pass,https://www.wta.org/go-hiking/hikes/spiritridge-trail
1624,Pleasant Valley Snowshoe,Central Washington,Yakima,9.0,roundtrip,160.0,3250.0,0.0,0,46.9650969,-121.2651468,1/23/21 0:00,11,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Sno-Parks Permit,https://www.wta.org/go-hiking/hikes/pleasant-valley-snowshoe
1625,Kelly Butte,Mount Rainier Area,Chinook Pass - Hwy 410,3.4,roundtrip,1100.0,5409.0,4.0,21,47.16320296,-121.4741135,10/20/21 0:00,278,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/kelly-butte
1626,Alderbrook Nature Trails,Olympic Peninsula,Hood Canal,4.6,trails,600.0,460.0,4.5,2,47.3383283,-123.0709076,11/5/21 0:00,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/alderbrook-nature-trails
1627,Black River Riparian Forest,Puget Sound and Islands,Seattle-Tacoma Area,,,,,3.0,2,47.47342512,-122.2390392,3/17/21 0:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,No pass,https://www.wta.org/go-hiking/hikes/black-river-riparian-forest
1628,Camp Brown,Snoqualmie Region,North Bend Area,0.45,roundtrip,,,0.0,0,47.51251962,-121.6211843,7/3/21 0:00,10,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/camp-brown
1629,Multnomah Falls,Southwest Washington,Columbia River Gorge - OR,1.2,roundtrip,100.0,611.0,3.5,8,45.57735646,-122.1167233,4/15/21 0:00,34,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/multnomah-falls
1630,Schaefer Lake,Central Cascades,Stevens Pass - East,9.0,roundtrip,3200.0,5195.0,3.75,8,47.95291667,-120.7726,8/28/21 0:00,55,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/schaefer-lake
1631,Marcus Trail,Eastern Washington,Okanogan Highlands/Kettle River Range,3.5,one-way,1760.0,6440.0,0.0,0,48.69681359,-118.535732,5/28/19 0:00,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/marcus-trail
1632,Snider Ridge,Olympic Peninsula,Northern Coast,11.4,roundtrip,2340.0,3340.0,0.0,0,48.06844409,-124.1086006,6/12/21 0:00,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/snider-ridge
1633,Bean Peak,Snoqualmie Region,Salmon La Sac/Teanaway,1.4,roundtrip,1143.0,6743.0,4.0,5,47.41381,-120.85868,10/15/21 0:00,95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/bean-peak
1634,Larch Lake,Central Cascades,Stevens Pass - East,12.0,roundtrip,2450.0,6078.0,3.5,12,47.6903,-120.7629,10/17/21 0:00,45,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/larch-lake
1635,Point Whitehorn Marine Reserve,Puget Sound and Islands,Bellingham Area,4.0,roundtrip,,,4.0,4,48.8871678,-122.7794695,5/29/21 0:00,25,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,No pass,https://www.wta.org/go-hiking/hikes/point-whitehorn-marine-reserve
1636,Independence and North Lakes,North Cascades,Mountain Loop Highway,7.0,roundtrip,2200.0,4950.0,3.92,26,48.11696667,-121.5226167,10/6/21 0:00,251,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/independence-and-north-lakes
1637,Obstruction Point Road Snowshoe,Olympic Peninsula,Northern Coast,,,,,5.0,2,47.9738266,-123.4766949,3/26/21 0:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Park Pass,https://www.wta.org/go-hiking/hikes/obstruction-point-road-snowshoe
1638,Narbeck Wetland Sanctuary,Puget Sound and Islands,Seattle-Tacoma Area,2.0,trails,,,3.5,8,47.9327544,-122.2606863,10/8/21 0:00,50,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,No pass,https://www.wta.org/go-hiking/hikes/narbeck-wetland-sanctuary
1639,Jester Mountain,Central Cascades,Blewett Pass,4.5,roundtrip,628.0,5508.0,0.0,0,47.3510527,-120.7070182,10/13/21 0:00,22,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/jester-mountain
1640,Crystal Mountain Loop (Silver King),Mount Rainier Area,Chinook Pass - Hwy 410,6.0,roundtrip,2450.0,6800.0,3.4,5,46.93687256,-121.4741671,8/19/21 0:00,74,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,,https://www.wta.org/go-hiking/hikes/crystal-mountain
1641,Dungeness National Wildlife Refuge - Dungeness Spit,Olympic Peninsula,Northern Coast,11.0,roundtrip,130.0,130.0,3.94,31,48.14133333,-123.1899167,8/23/21 0:00,208,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,Refuge Entrance Pass,https://www.wta.org/go-hiking/hikes/dungeness-national-wildlife-refuge
1642,Anacortes Community Forest Lands - Four Summit Loop,Puget Sound and Islands,Bellingham Area,6.5,roundtrip,1700.0,1300.0,0.0,0,48.46768588,-122.6298237,10/28/21 0:00,8,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/anacortes-community-forest-lands-four-summit-loop
1643,Rock Mountain,North Cascades,Pasayten,,,2660.0,7920.0,0.0,0,48.663,-119.9648,7/23/21 0:00,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,,https://www.wta.org/go-hiking/hikes/rock-mountain-2
1644,Clark Peak,North Cascades,Pasayten,6.5,roundtrip,1570.0,7891.0,0.0,0,48.663,-119.964833,8/26/17 0:00,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,,https://www.wta.org/go-hiking/hikes/clark-peak
1645,Middle Tiffany Mountain,North Cascades,Pasayten,,,2712.0,7972.0,0.0,0,48.6569886,-119.9764948,8/26/17 0:00,2,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,,https://www.wta.org/go-hiking/hikes/middle-tiffany-mountain
1646,Freds Mountain,North Cascades,Pasayten,,,9000.0,7814.0,0.0,0,48.7834,-120.1079,6/23/18 0:00,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/freds-mountain
1647,Amos Peak,North Cascades,Pasayten,,,8000.0,8259.0,0.0,0,48.7834,-120.1079,6/23/18 0:00,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/amos-peak
1648,Bauerman Ridge,North Cascades,Pasayten,,,,8044.0,0.0,0,48.97716,-120.06673,9/4/17 0:00,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/bauerman-ridge
1649,Silver Lake,North Cascades,Pasayten,9.2,roundtrip,2800.0,6950.0,3.3,10,48.73225,-120.6682333,8/23/21 0:00,21,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/silver-lake-1
1650,Blackjack Ridge,Central Cascades,Leavenworth Area,,,,,3.6,5,47.60983333,-120.8903167,10/14/21 0:00,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/blackjack-ridge
1651,Blue Creek,Central Cascades,,,,,,3.6,5,,,6/21/20 0:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/blue-creek
1652,Bogachiel Peak,Olympic Peninsula,Northern Coast,16.2,roundtrip,3675.0,5474.0,3.12,8,47.955167,-123.83505,8/23/21 0:00,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,National Park Pass,https://www.wta.org/go-hiking/hikes/bogachiel-peak
1653,Big Flat Habitat Management Unit,Central Washington,Tri-Cities,6.0,roundtrip,,,3.5,4,,,12/11/20 0:00,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/big-flat-habitat-management-unit
1654,Bismark Peak,South Cascades,,,,,,3.2,5,,,6/21/21 0:00,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/bismark-peak
1655,Bobs Lakes,Central Washington,Potholes Region,3.0,roundtrip,390.0,,3.5,4,,,10/14/19 0:00,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/bobs-lakes
1656,Chukar Lake - Blythe Lake,Central Washington,Potholes Region,4.0,roundtrip,100.0,1000.0,2.83,6,46.96725089,-119.3108368,4/15/21 0:00,10,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/blythe-lake
1657,Big Crow Basin,South Cascades,,,,,,3.0,4,,,6/5/21 0:00,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/big-crow-basin
1658,Big Meadow Creek,Central Cascades,,,,,,4.0,4,,,7/15/21 0:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/big-meadow-creek
1659,Billy Creek,Central Cascades,,,,,,4.0,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/billy-creek
1660,Blackhorse Lake Boardwalk,Eastern Washington,,,,,,3.0,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/blackhorse-lake-boardwalk
1661,Billy Ridge,Central Cascades,,,,,,4.0,4,,,5/20/17 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/billy-ridge
1662,Blizzard Peak,North Cascades,,,,,,2.5,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/blizzard-peak
1663,Black Canyon,Central Washington,Yakima,7.0,roundtrip,1250.0,,4.27,11,46.8580895,-120.6981557,10/30/21 0:00,128,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/black-canyon
1664,Black Pine Lake,North Cascades,Methow/Sawtooth,,,,,3.5,4,,,9/4/17 0:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/black-pine-lake
1665,Big Lava Bed,South Cascades,Mount Adams Area,13.0,roundtrip,600.0,4000.0,3.5,6,45.90796667,-121.8023667,12/27/14 0:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/big-lava-bed
1666,Backpacker Camp,Central Cascades,Entiat Mountains/Lake Chelan,,,,,3.25,4,,,8/9/13 0:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/backpacker-camp
1667,Bernice Lake,Central Cascades,,,,,,4.5,4,,,8/19/07 0:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/bernice-lake
1668,Bear Mountain,Olympic Peninsula,Northern Coast,,,,,2.25,4,,,2/20/12 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/bear-mountain
1669,Bear Creek,Eastern Washington,Palouse and Blue Mountains,,,,,2.5,4,,,5/31/21 0:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/bear-creek
1670,Bachelor Meadows,Central Cascades,,,,,,2.6,5,,,9/8/20 0:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/bachelor-meadows
1671,Bear Lake Snowshoe,North Cascades,Mountain Loop Highway,10.0,roundtrip,1400.0,2775.0,2.5,2,,,3/18/21 0:00,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/bear-lake-snowshoe
1672,Beauty Creek,North Cascades,,,,,,4.75,4,,,8/21/21 0:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/beauty-creek
1673,Baker Pass,North Cascades,Mount Baker Area,,,,,3.0,4,,,5/31/16 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/baker-pass
1674,Basalt Pass,Central Cascades,Stevens Pass - East,,,,,3.0,5,,,7/10/21 0:00,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/basalt-pass
1675,Badlands Trail,Central Cascades,Stevens Pass - East,,,,,3.5,4,,,6/14/20 0:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/badlands
1676,Bear Gap,South Cascades,,,,,,2.25,4,,,7/28/21 0:00,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/bear-gap
1677,Bear Lake,Eastern Washington,Spokane Area/Coeur d'Alene,,,,,3.4,5,47.92275568,-117.3513007,6/21/20 0:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/bear-lake-1
1678,Barron Creek,North Cascades,,,,,,2.25,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/barron-creek
1679,Barnaby,Eastern Washington,,,,,,2.25,4,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/barnaby
1680,Salmon Ridge Snowshoe,North Cascades,Mount Baker Area,5.4,roundtrip,300.0,2400.0,4.0,2,48.9075513,-121.6941181,4/6/21 0:00,17,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,Sno-Parks Permit,https://www.wta.org/go-hiking/hikes/salmon-ridge-snowshoe
1681,Eagle Trail,Puget Sound and Islands,Seattle-Tacoma Area,1.0,roundtrip,50.0,90.0,0.0,0,48.20238135,-122.1292591,10/14/20 0:00,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/eagle-trail
1682,Cora Lake,Mount Rainier Area,SW - Longmire/Paradise,6.0,roundtrip,400.0,3800.0,4.11,9,46.6779,-121.8946,8/27/21 0:00,59,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/cora-lake
1683,Lower Wildcat Lake,Snoqualmie Region,Snoqualmie Pass,,,,,3.0,3,47.4453,-121.4235,8/22/21 0:00,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/lower-wildcat-lake
1684,Jumpoff Joe Lookout,Central Washington,Yakima,10.0,roundtrip,2531.0,5749.0,4.0,5,46.62161907,-121.0624695,6/6/21 0:00,11,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/jumpoff-joe-lookout
1685,Hall - Grassy Divide,Eastern Washington,Selkirk Range,5.1,one-way,,,0.0,0,48.79702662,-117.1320248,9/26/21 0:00,2,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/hall-grassy-divide
1686,Lost Lake,South Cascades,,16.2,roundtrip,2400.0,5200.0,0.0,0,46.601678,-121.511248,9/12/21 0:00,30,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/lost-lake-78
1687,Domerie Divide Trail,Snoqualmie Region,Cle Elum Area,,,,,3.33,3,47.26536304,-121.1640045,9/12/21 0:00,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/1308.2
1688,Mission Peak,Central Washington,Wenatchee,4.0,roundtrip,840.0,6876.0,3.5,2,47.29746565,-120.4430292,5/31/21 0:00,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,No pass,https://www.wta.org/go-hiking/hikes/mission-peak
1689,Lake Sammamish State Park,Puget Sound and Islands,Seattle-Tacoma Area,1.5,trails,,,2.0,1,47.55900234,-122.0627174,8/19/21 0:00,13,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/lake-sammamish-state-park
1690,Glacier Lake,South Cascades,,6.0,roundtrip,1634.0,2905.0,2.67,12,46.54565,-121.62215,9/5/21 0:00,54,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/glacier-lake
